City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,moyale,3.5167,39.0584,19.54,72,27,1.38,KE,1686871636
1,port-aux-francais,-49.35,70.2167,6.7,97,100,11.49,TF,1686871636
2,petrovskaya,45.4314,37.955,18.34,88,1,3.58,RU,1686871636
3,plastun,44.7561,136.2939,21.0,58,3,0.87,RU,1686871637
4,invercargill,-46.4,168.35,6.45,72,100,1.69,NZ,1686871434
5,waitangi,-43.9535,-176.5597,11.57,90,94,0.45,NZ,1686871395
6,nadym,65.5333,72.5167,6.08,86,100,6.63,RU,1686871637
7,tazovsky,67.4667,78.7,3.02,90,99,5.54,RU,1686871637
8,portland,45.5234,-122.6762,26.11,46,40,4.63,US,1686871023
9,ulladulla,-35.35,150.4667,12.4,61,0,1.61,AU,1686871637
10,isafjordur,66.0755,-23.124,12.75,84,100,0.49,IS,1686871638
11,huilong,31.8111,121.655,22.31,90,100,3.47,CN,1686871638
12,blackmans bay,-43.0167,147.3167,10.07,75,71,4.02,AU,1686871638
13,robertsport,6.7533,-11.3686,27.27,73,97,5.53,LR,1686871638
14,avarua,-21.2078,-159.775,23.03,88,20,1.54,CK,1686871569
15,grytviken,-54.2811,-36.5092,-0.34,88,75,3.35,GS,1686871638
16,yellowknife,62.456,-114.3525,17.29,42,75,6.71,CA,1686871361
17,anadyr,64.75,177.4833,4.28,75,75,3.0,RU,1686871639
18,college,64.8569,-147.8028,21.16,28,75,2.57,US,1686871639
19,gaiman,-43.2897,-65.4929,7.99,71,100,4.38,AR,1686871639
20,buzdyak,54.5833,54.55,15.52,54,100,1.69,RU,1686871639
21,trincomalee,8.5711,81.2335,28.05,77,88,7.64,LK,1686871639
22,san patricio,28.017,-97.5169,34.05,59,2,8.68,US,1686871640
23,chernyshevskiy,63.0128,112.4714,8.23,86,100,4.21,RU,1686871640
24,antsiranana,-12.2787,49.2917,22.31,85,1,4.86,MG,1686871640
25,puerto natales,-51.7236,-72.4875,2.24,78,10,3.59,CL,1686871640
26,lijiang,26.8688,100.2207,13.27,96,94,1.61,CN,1686871640
27,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,45,0,3.0,RU,1686871641
28,kuluncak,38.8828,37.6728,13.53,88,0,3.06,TR,1686871579
29,anloga,5.7947,0.8973,26.66,78,93,5.38,GH,1686871641
30,erdenet,49.0333,104.0833,6.35,80,100,0.69,MN,1686871641
31,qaqortoq,60.7167,-46.0333,3.18,72,14,2.04,GL,1686871641
32,zaozersk,69.4005,32.4476,4.56,64,82,8.22,RU,1686871642
33,bella vista,36.4295,-94.2316,31.29,48,0,3.09,US,1686871642
34,hamilton,39.1834,-84.5333,27.47,54,75,2.57,US,1686870852
35,ushuaia,-54.8,-68.3,1.81,87,0,2.06,AR,1686871642
36,praia,14.9215,-23.5087,24.3,83,20,7.72,CV,1686871616
37,kodiak,57.79,-152.4072,8.73,87,100,6.17,US,1686871642
38,al bayda',32.7627,21.7551,18.0,92,36,8.87,LY,1686871643
39,brokopondo,4.75,-55.1667,24.63,87,99,4.51,SR,1686871643
40,gedo,9.0167,37.45,11.98,92,100,0.77,ET,1686871643
41,vila franca do campo,37.7167,-25.4333,19.23,92,56,3.67,PT,1686871643
42,ishim,56.1128,69.4902,9.34,88,28,1.01,RU,1686871643
43,sinabang,2.4803,96.3801,26.54,77,93,1.3,ID,1686871643
44,papatowai,-46.5619,169.4708,7.92,65,100,2.99,NZ,1686871644
45,minas de marcona,-15.2119,-75.1103,14.16,81,11,5.11,PE,1686871644
46,tangalle,6.024,80.7911,27.1,83,100,5.77,LK,1686871644
47,sverdlovskiy,55.9108,38.1536,17.27,75,3,1.88,RU,1686871644
48,newman,37.3138,-121.0208,33.19,18,83,2.42,US,1686871644
49,port alfred,-33.5906,26.891,11.77,92,56,2.68,ZA,1686871644
50,koesan,36.8108,127.7947,19.55,70,0,0.79,KR,1686871500
51,ancud,-41.8697,-73.8203,6.04,76,6,3.08,CL,1686871645
52,olonkinbyen,70.9221,-8.7187,3.46,92,87,4.38,SJ,1686871522
53,nouadhibou,20.931,-17.0347,21.33,79,0,9.62,MR,1686871645
54,tromso,69.6496,18.957,6.32,87,75,1.54,NO,1686871645
55,nacala,-14.5428,40.6728,20.95,80,43,0.82,MZ,1686871645
56,adamstown,-25.066,-130.1015,21.4,71,73,2.98,PN,1686871645
57,lihue,21.9789,-159.3672,27.58,82,75,8.75,US,1686871646
58,gebeit,21.0667,36.3167,30.59,31,47,1.86,SD,1686871646
59,ilulissat,69.2167,-51.1,2.01,87,100,4.12,GL,1686871646
60,whakatane,-37.9585,176.9854,13.21,80,100,0.89,NZ,1686871646
61,vorgashor,67.5833,63.95,0.57,96,88,6.92,RU,1686871646
62,port mathurin,-19.6833,63.4167,24.76,70,3,7.12,MU,1686871646
63,geraldton,-28.7667,114.6,14.23,82,75,3.09,AU,1686871647
